Id;Year;Country;Cash;Liquid_Assets;Gross_Loans;Total_Assets;Total_Deposits;Total_Liabilities;Total_Equity;Net_Interest_Income;NPL_s_Gross_Loans;Loan_Loss_Provisions_s_Gross_Loans;Net_Interest_Revenue_s_Total_Assets;ROAE;ROAA;Liquid_Assets_s_Total_Assets;Total_Equity_s_Total_Assets;NonInt_Ex_s_Avg_Assets;Total_Cap_Ratio;Rating_num;Rating
Id_001;2021;PANAMA;62.8;547.4;6216.6;8323.5;5275.2;7533.8;789.7;172.8;3.75;1.32;2.05;3.38;0.32;6.58;9.49;1.53;15.97;10;BBB-
Id_002;2020;ARGENTINA;722.7;586.95;1312.82;3583.76;2390.51;2986.63;597.14;498.66;1.59;0.87;14.84;24.03;3.95;16.38;16.66;9.56;20.16;17;CCC+
Id_003;2020;ARGENTINA;159.7;819.85;576.42;1636.43;945.57;1422.89;213.53;1.1;12.17;-0.35;-0.07;6.25;0.76;50.1;13.05;13.92;13.05;19;CCC-
Id_004;2020;ARGENTINA;1809.74;1682.27;3453.92;8197.15;5736.97;6950.78;1246.37;923.11;1.45;2.94;11.9;12.07;2.04;20.52;15.2;10.05;19.35;18;CCC
Id_005;2020;ARGENTINA;1209.79;635.6;1600.05;4409.14;2383.78;3838.68;570.45;481.94;4.49;4.23;11.37;10.85;1.31;14.42;12.94;7.99;21.43;16;B-
Id_006;2020;ARGENTINA;432.12;760.79;1338.82;2872.72;2040.93;2533.36;339.36;426.37;6.64;6.75;16.43;8.88;1.01;26.48;11.81;15.87;13.62;18;CCC
Id_007;2020;BOLIVIA;1352.14;1462.27;2910.49;5413.29;4685.9;5065.17;348.12;180.59;1.96;0.87;3.74;5.22;0.38;27.01;6.43;3.66;11.8;14;B+
Id_008;2020;BOLIVIA;582.72;562.34;3866.83;5717.19;5130.87;5421.36;295.83;181.52;2;0.37;3.27;2.06;0.11;9.84;5.17;2.45;11.81;14;B+
Id_009;2020;BOLIVIA;601.48;697.06;2924.08;4419.19;3530.01;4152.4;266.79;131.75;1.22;0.46;3.11;5.12;0.32;15.77;6.04;1.61;12.72;15;B
Id_010;2020;BOLIVIA;446.86;476.79;2400.71;3422.26;3080.67;3212.74;209.52;116.28;1.01;1.15;3.54;2.48;0.16;13.93;6.12;2.21;11.93;15;B
Id_011;2020;BOLIVIA;91.1;202.1;2427.68;3447.76;2819.12;3247.02;200.74;91.1;0.35;0.41;2.98;0.89;0.05;5.86;5.82;3.13;11.7;16;B-
Id_012;2020;BRAZIL;104.24;3108.05;11490.34;22475.95;4931.07;20397.3;2078.65;1048.75;13.09;4.3;5.09;10.35;0.95;13.83;9.25;2.94;14.64;12;BB
Id_013;2020;BRAZIL;9.39;94.5;154;269.62;118.02;231.15;38.47;10.65;7.22;4.15;3.05;-8.39;-0.84;35.05;14.27;2.23;16.8;12;BB
Id_014;2020;BRAZIL;42.66;654.93;3127.17;4904.78;3225.73;4489.12;415.66;432.91;4.25;0.48;10.57;24;2.39;13.35;8.47;8.66;14.62;14;B+
Id_015;2020;BRAZIL;26.25;35.95;2707.37;5457.47;2540.69;4659.49;797.99;575.77;6.22;5.53;12.64;8.13;1.43;0.66;14.62;6.24;17.76;14;B+
Id_016;2020;BRAZIL;0.95;543.3;5627;7446.53;4168.71;6418.68;1027.85;1368.81;7.94;4.34;19.86;12.8;1.9;7.3;13.8;11.5;15.91;14;B+
Id_017;2020;BRAZIL;15.56;520.74;599.2;1399.37;1057.37;1296.71;102.66;96.8;5.57;1.73;7.59;12.36;0.96;37.21;7.34;9.6;11.15;12;BB
